comment,sentiment
裤子面料舒适不掉色穿起来刚刚好很有版型哟,1
这衣服好丑好丑而且不是棉的不知道什么鸟材料做的,0
裤子尺码不对,0
有股刺鼻的味道还特别脏差评,0
味道刺鼻无弹性整体偏长,0
太垃圾了 太长了 质量一般 衣服穿出了裙子的感觉 几十的东西也懒得退了,0
裤子质量很好呢非常喜欢送人的不掉色也不皱非常好,1
买了这条裤子对网购失去信心了,0
到货真心快还想着得三四天呢结果一天就到了,1
质量好穿着舒服做工好尺码标准性价比高,1
什么东西要韩版的拿段码,0
物流龟速商铺老板不理不睬,0
一般毕竟价格这样,0
收到的时候打开看了看质量很好无色差我很喜欢喜欢的朋友多多支持真心不错,1
垃圾太丑了被朋友笑死了买这垃圾,0
颜色相差太大质量一般码子偏小,0
质量如款式新信后服务好,1
做工不错质量还是可以面料也不错样式挺好看的,1
裤子质量不错的 穿着挺舒服的,1
价格很优惠服务也很好东西不错哈哈,1
很好值得拥有穿起来很舒服下次还会买的,1
物流很快裤子摸着挺舒服的价格公道以后有需要还会再来,1
尺码完全不一样 差评,0
怎么说能这个裤子我认为还不错外观也好看很好看我表示很喜欢,1
裤子版型很好显得人很有腿型用清水洗了一下也没有掉色实物跟图片没有色差厚度适中穿着舒服,1
说真的这是我第一次在网上买了假衣服而且还是一直用的京东其实我连半颗星都不想给卖家卖假衣服图片我没照衣服回来没穿烂了好几个窟窿真菜在家直接丢垃圾桶了,0
说是薄裤子发来一看天呐只能在深秋里穿而且裤料子容易粘毛沾灰还卖那么贵慎买一星也不想多给,0
我点错了包裹还没收到呢,0
这个是给男朋友买的他穿上的感觉真棒颜色虽然要稍微浅了一些但是还是可以接受的因为他穿上来也挺好看的嗯嗯以后还来买买买买,1
裤子质量很好性价比很高洗了也不褪色好评值得购买,1
宝贝已收到总体可以就是稍微瘦了点xL号的本人124斤就不换丁,1
做工精细大小合适颜色很正质量不错客服好包装严实快递及时,1
愉快的一次购物衣服的质量不错做工也非常精细材质也很好尺码标准款式也很不错,1
裤子收到了料子不错哦老公很喜欢我特意洗了而且还不掉颜色,1
裤子质量好的没话说下水洗了没掉多大的颜色是正常的男朋友很喜欢以后帮对象买衣服就找这家了很满意看上的小伙伴别纠结赶紧下单吧,1
裤子样式不错 料子也挺舒服的,1
裤子很合适跟图片描述的一模一样质量也非常好穿起来很舒服,1
裤子质量真差最后悔的一次购物,0
