comment,sentiment
米色实物就是浅肤色罩杯够大大胸美女放心拍163公分110斤80E穿L罩杯略小勉强凑合穿XL罩杯合适下围略松网上客服说文胸可在门店换尺码但长沙喜盈门范城的服务员说门店自提的文胸不能在门店换尺码欺负我第一次自提文胸吗,0
双十一的券不能用还在店里贴各种宣传画和店员沟通手机网店下单后店里自提也回答不可以询问怎么可以用只是说网上用反正店里不能用现场网上买然后选店里提货也回答不行反正全程只回答不能用是网上的再没有其他的回答问得多了就是机械的处理收钱和给票不回答优惠的问题宣传画上写着可以网上下单再自提那么没有这些店里还弄那么多宣传干什么,0
在店里试的上身效果很棒侧面看肩膀也很薄 吊牌价是99网店89果断选择门面自提了✌✌✌  自提后发现其实实体店里只卖79,0
门店自提倒是挺节约时间能马上试穿看到效果可惜这个颜色看着挺温柔但不适合我穿也不是特别百搭即刻选择门店退换了但自提淘宝上就马上自动确认收货了办退货退款网上又费了不少时间希望改进门店美女的服务态度倒是挺好的,0
这次门店自提实在是太慢了两天了都还没收到短信,0
极好很满意就是在店里等着自提的时间很久希望能够改进吧,0
衣服板型不错上身效果好就是没有蓝色的那款好搭衣服门店试过当场网上下单选择门店自提要等半个小时希望以后能更快一些,0
店铺自提太麻烦,0
买完399的衣服回家看到淘宝官方店同款只要349打电话问能不能退差价门店说不行我问能否我网上下单明天带这件衣服去门店退款同时自提回来你们门店居然说如果你要抠这50块那可以啊什么叫抠50块能不能解释清楚一下学生党的钱是印出来的吗,0
凑500块单买的内裤还没穿过门店自提依旧服务亟待提高店员不太懂操作第二次门店自提了每次都不太顺利顾客的时间也不是全部给你们店自提的服务态度本来想打一颗星改成三颗心是因为打浦桥日月光店的店长态度很好东西倒是没问题,0
非常好 很仙 实体店恢原价了 而且去实体店提货的时候 收银员工作态度十分不友好 取个件花了快半个小时,0
衣服还可以我也是傻的到家了天猫129实体店99我居然天猫下单门店自提回到家看到别人发才知道门店99元也是醉了算了反正也不贵只是服气我自己还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧,0
当时在店里看到是199然后看旗舰店正好有优惠149 就果断在网上下单然后店里自提了还买了另一件衬衫没想到当时149买的 没几天就变成99了真是价格波动不要太大看来出来混迟早要还的好像优衣库周二回有不定款优惠吧今年优衣库也蛮给力的卅都想来一件,0
实体提货店里忘了给我衣服的带子事后才看到,0
质量一般略厚袖子有点宽大退了在实体店提的货态度很好退货也很方便,0
自提去店里换了白色很满意袖子有点长,0
优衣库的东西呢设计感一般但是质量在同价位是出类拔萃的这种羽绒马甲属于耐用单品不会有过时之说那么选择优衣库就很明智了只是初上市的价格实在不美丽双十一差点下手后来想想不是刚需忍住了没想到双十二来了惊喜直接6折了进入心里价格区间直接拿下拿到手果然没让我失望颜色选了个耐看色很正保暖性能也在预期之中就近仓库顺丰发货很快可是本市门店明明有货却提示没有库存不让自提,0
东东不错就是选了门店自提结果店员竟然不知道如何操作等了好久才解决下次不再选自提了,0
网上有活动但是没办法门店自提所以只能自己去花钱裁裤腿了,0
前几年去上海时家人带我去了仲盛优衣库后就一发不可收拾了自己和老公的衣裤都爱在优衣库购买了优衣库的衣物穿着舒服随意休闲前段时间去上海实体店进行网店更新程序不能网购实体店自提这次买了5样宝贝都不错喜欢裙子和其中一件麻衬衣女买大了一码原想换货的就是换货程序有点多麻烦本人转人工后直接电话咨询了解的客服态度不错,0
辣鸡门店自提退款流程4月9日门店自提4月10日去门店完成退货4月16日一直没退款进度去门店协调了30分钟才进行退款真**服了物流和态度全打一星,0
入坑了活动买了好多件之前买了蓝色又入手白色的下单门店自提的感觉白色的料子偏硬有点扎人不知道怎么回事没有蓝色的舒服可是已经下水了要不然想退掉无所谓了,0
店里明明有不知道为什么不让选择自提,0
网上拍下实体店提货的但是一会儿网上就小码的抢光了我去实体店还有好多件呢而且也是和活动价一样的价格很软又轻适合开春或者秋季穿版型还可以,0
差评实体店自提为了尺寸不合适可以调换取货后感觉是样品太久了磨毛的感觉包子性格也就这样了但实体店自提不会再体验了,0
门店自提的 店员不太专业 给他看短信却让我自己去把衣服找过来,0
门店提货速度很慢等很久,0
门店自提就是系统不成熟换货都一定要去自提店还没货折腾,0
比店里便宜店里试了网上下单选自提竟然没货不懂为什么裙子版型很好比往年的好多了不会显胯宽,0
衣服本身不错但门店自提的款式越来越少门店活动也没旗舰店多,0
穿着很舒服就是到店自提遇到点麻烦店员业务不熟练造成的,0
这届优衣库有点坑 这件衣服很早之前就实体店149了 但是我想着双十一应该便宜一些吧 于是等最后双十一居然149 我选的到店提货 真的是没有太有诚意啊 羽绒服很薄,0
服务员非常耐心的找尺码颜色帮忙找衣服非常辛苦态度很好结款的时候还推荐了门店自提减钱就是信号不太好,0
比起去年的龙珠幽游海贼王的UT材料要更厚一点领口也要更紧一点感觉上偏小一点点门店自提的明天去门店试试大一个尺寸的现在也能穿但反复的和去年的比就小了一点点,0
裤子很好很划算就是自提的时候裤子有点小了可惜门店不给换一个尺码也能穿有点小遗憾吧下次自提一定要在门店试好再在网店买,0
门店自提第一次感觉服务不行164身高118斤m合身L稍宽松,0
就是店里自取等得有点久其他都挺好的比店里便宜希望多多做活动就是店里自取等得有点久其他都挺好的比店里便宜希望多多做活动就是店里自取等得有点久其他都挺好的比店里便宜希望多多做活动就是店里自取等得有点久其他都挺好的比店里便宜希望多多做活动就是店里自取等得有点久其他都挺好的比店里便宜希望多多做活动就是店里自取等得有点久其他都挺好的比店里便宜希望多多做活动就是店里自取等得有点久其他都挺好的比店里便宜希望多多做活动,0
想在门店用到店自提的一个订单然后领取30元的代金券结果费劲30分钟要么买的东西门店有然后网上没有要么就是门店这边狗屁信号没有选个门店折腾半个小时转了三圈还是没信号既然想推广小程序这个东西为什么就不能完善一下呢这种垃圾体验谁还用啊工作人员也没能及时帮助我们去解决就知道傻等着给我结账太差劲儿了,0
选择门店自提先说要我自己去找花时间找到了排队又说已经早准备好了真是浪费时间,0
店内一直在广播可以用淘宝购物选择门店自取但是部分商品缺货问店员他们只告诉我在门店直接拿吧,0
假期期间人手不足经验不足门店自提想当场换尺寸看也不看说没货三楼二楼明明尺寸颜色都有到三楼柜台想换说不会操作要回五楼表示不满后顾客建议员工上楼帮助更换换后要求签退货单可能是内部流程自提是为了方便反而非常麻烦希望能改善操作流程加强培训,0
在门店提的比网上买快多了穿着挺舒服的就是长了点,0
没记下姓名不是针对个人但是开始我就先询问了是否可以网店下单门店自提开始说可以等我全选完了另一个人居然又告知我系统暂时不支持我不敢说自己的时间有多珍贵但是作为在职哺乳期妈妈抽出时间出来选购父亲节礼物也是很不容易直奔优衣库因为认同这里的服务和质量但这次很不满系统不支持为什么有员工不知道浪费顾客的时间难道不该道歉吗系统什么时候恢复也没有确切答案这是优衣库该有的服务好不容易出来趟一无所获还搞得心累失望,0
第一次尝试自提挺快的店里衣服就几件可选每件都有点瑕疵沾在上面的粉底什么的,0
皮带蛮细的有点硬感觉还行线下提的店里也卖79,0
不错不错门店自提适合知道自己码的操作我换了两个号麻烦店员了不错不错门店自提适合知道自己码的操作我换了两个号麻烦店员了门店有的款更加便宜而码全下次直接店里选,0
