comment,sentiment
感觉优衣库工作的小姑娘真的很不容易，很辛苦，每次来都看到她们来回跑，叠叠叠，但是从来没看到她们发过脾气或者说顾客不好，真的很厉害,0
是一件，的小哥哥很好，耐心的帮我衡量衣服合不合适好不好看，点赞,0
服务质量一级棒，主要是衣服不满意还可以退换，,0
哈哈哈店员指引 我问我有没有不满意的地方 很贴心 当然满意了,0
工作人员热心负责，店铺干净整洁，款式新颖多样，这样的优衣库怎么能不让人喜欢。,0
有位可爱的小姐姐  我非常滴感谢她  给我推荐了一套休闲装   上身效果简直不要太好看了,0
没有什么不开心的感觉都很喜欢这样的感觉，我,0
一直都很喜欢优衣库的衣服，质量什么的简直不要太好,0
衣服不要太好啦 前台小姑娘帮我找衣服 找尺码 帮我省钱 帮我下单 真是优秀了,0
店员在修改裤长的时候再三叮嘱我确定好尺寸并且告诉我不满意可以重改，很负责,0
特别感谢收银员一位个子高高的小男孩儿。那么有耐心的回答我的问题。,0
我喜欢乐松优衣库呦 喜欢你们的服务态度不要太好啦！,0
一直都在优衣库买衣服，一直也很相信优衣库衣服的质量，特别是最近那个柔软衣，简直不要太好穿好吧。,0
都非常满意，没什么可以吐槽的。员工很积极热情，商品性价比很高。裤子改得又好又快，很好,0
在优衣库购买了这么多东西没有一次是失望的。,0
挺好的，喜欢优衣库的氛围，没什么不满意的,0
丁湘茹小姐姐服务很棒，一直微笑，我试了很多件衣服也没有表示不开心，我都有点不好意思了，嘻嘻，很谢谢她帮我拿衣服，期待下次再来,0
超喜欢联名款的，特别是漫威的，简直不要太好啦，真好看，看我穿的，朋友都来买了好多，买到自己想要的衣服真好。,0
听好的服务员很耐心的帮我找衣服，很不好意思试衣间的小姐姐试了好的衣服她也没有表现出烦躁，还帮我拿衣服尺码，，比,0
在优衣库买商品最放心，不喜欢的可以随时退换。,0
没有令我不满意的员工姓名哦哦哦,0
香坊万达的员工总是那么有耐心 因为家就在这附近，所以总来 从没让我失望过,0
